YEAR,JF
1901,63.6
1902,77
1903,27.1
1904,35.3
1905,14
1906,65.4
1907,9.6
1908,53.7
1909,127.7
1910,30.4
1911,3.9
1912,8.7
1913,6.1
1914,7.6
1915,53.2
1916,3.3
1917,53.4
1918,86.3
1919,23.7
1920,139
1921,141.3
1922,60.1
1923,138.5
1924,30.4
1925,22.1
1926,90.2
1927,39.6
1928,75.9
1929,49.6
1930,113.9
1931,22.7
1932,32.6
1933,7.7
1934,99.9
1935,40
1936,53
1937,27.4
1938,53.3
1939,36.1
1940,1.6
1941,36.1
1942,1.1
1943,130.5
1944,53
1945,10.1
1946,20.8
1947,74.3
1948,61.6
1949,11.6
1950,70.4
1951,12.6
1952,61.4
1953,28.8
1954,80.2
1955,37
1956,23.4
1957,11.5
1958,18.1
1959,38.5
1960,15.4
1961,88.6
1962,33.6
1963,81
1964,2.7
1965,9
1966,17.6
1967,29.9
1968,10.2
1969,8.7
1970,34
1971,30.4
1972,5.2
1973,0.5
1974,9.4
1975,10.3
1976,1.4
1977,26.2
1978,12.6
1979,44.2
1980,0.1
1981,10.1
1982,0.3
1983,0.4
1984,165.9
1985,94.9
1986,104.4
1987,9.2
1988,4
1989,2.7
1990,95
1991,28.9
1992,3.3
1993,7.1
1994,34.6
1995,27.1
1996,11.3
1997,7.9
1998,12.5
1999,32.3
2000,104.7
2001,32.7
2002,25
2003,4.4
2004,3.5
2005,15.2
2006,15.5
2007,14.7
2008,40.8
2009,7.9
2010,11.9
2011,15.5
2012,3.1
2013,34.8
2014,13.4
2015,10.6
2016,3.3
2017,38.4
