YEAR,OND
1901,415
1902,622.9
1903,531.9
1904,235.8
1905,377.2
1906,479.6
1907,423.6
1908,317.2
1909,253.6
1910,425.3
1911,431.9
1912,527.5
1913,505.1
1914,542.3
1915,402.3
1916,387.5
1917,336.5
1918,485.3
1919,523.2
1920,569
1921,368.6
1922,626.2
1923,374.3
1924,301.2
1925,560.8
1926,296.7
1927,291
1928,491.6
1929,442.8
1930,671.4
1931,599.5
1932,572.8
1933,432.2
1934,418.4
1935,426.3
1936,402.9
1937,492.8
1938,178.6
1939,518.6
1940,615.2
1941,472.1
1942,361.4
1943,471.1
1944,608.5
1945,390.3
1946,760.2
1947,256.4
1948,408.3
1949,248.1
1950,296
1951,295.1
1952,338.7
1953,394.2
1954,410.6
1955,441.1
1956,526.3
1957,480.8
1958,335.2
1959,430.8
1960,509.9
1961,318.3
1962,385.9
1963,504.3
1964,424.9
1965,446.6
1966,614.7
1967,466.1
1968,305.6
1969,592.7
1970,410.3
1971,492.2
1972,599.8
1973,401.4
1974,184.8
1975,332
1976,439.1
1977,706.9
1978,584.1
1979,597.5
1980,335.5
1981,436.8
1982,345.7
1983,475.7
1984,306.8
1985,398.1
1986,361
1987,548.6
1988,222.4
1989,342.4
1990,384.2
1991,480.9
1992,473.2
1993,693.5
1994,486.6
1995,254.7
1996,493.3
1997,562.8
1998,564
1999,505.3
2000,357.8
2001,149.3
2002,153.1
2003,152.6
2004,500.6
2005,782.3
2006,481.6
2007,548
2008,591.2
2009,482.9
2010,601.2
2011,471.8
2012,293.6
2013,293.4
2014,428.9
2015,665.3
2016,166
2017,393.9
