YEAR,ANNUAL
1901,960.3
1902,1138.2
1903,1138.2
1904,1138.2
1905,1138.2
1906,990.2
1907,885.6
1908,765
1909,954.6
1910,943.7
1911,814.9
1912,904.1
1913,878.8
1914,953.3
1915,988.5
1916,897.4
1917,948.3
1918,871.7
1919,1028.6
1920,1154.2
1921,979.4
1922,1080.5
1923,834.1
1924,895.1
1925,1013.3
1926,815.6
1927,829.9
1928,970.8
1929,977.7
1930,1275.4
1931,1039.8
1932,1109.8
1933,1010.9
1934,839.7
1935,893.9
1936,944.5
1937,1020.1
1938,783.2
1939,1055.8
1940,1178.5
1941,1006.9
1942,847.3
1943,1187.3
1944,1227.6
1945,784
1946,1294.1
1947,939.5
1948,906.7
1949,840.7
1950,747.5
1951,855.1
1952,716.4
1953,968
1954,1016.3
1955,1060.6
1956,989.7
1957,866.9
1958,852.5
1959,894.3
1960,1013.9
1961,910.7
1962,941.6
1963,1072.8
1964,910.6
1965,921.8
1966,1166.9
1967,899.1
1968,789.4
1969,961.8
1970,942.1
1971,1047.6
1972,1093.4
1973,858.5
1974,652.8
1975,923.6
1976,858.9
1977,1246
1978,998.8
1979,1103.4
1980,709.1
1981,1045.9
1982,678.6
1983,1007.7
1984,1023.8
1985,1063.5
1986,953
1987,963.5
1988,837.2
1989,856.5
1990,903.2
1991,954.8
1992,918.7
1993,1082.3
1994,905.9
1995,843.4
1996,1069.4
1997,950.5
1998,1079.7
1999,922.6
2000,972
2001,483.4
2002,318
2003,348.5
2004,1037.6
2005,1365.3
2006,927.9
2007,1067.2
2008,1203.4
2009,928.5
2010,1095.2
2011,926.5
2012,636.1
2013,741.9
2014,913
2015,1204.6
2016,535
2017,973
